evidence_id,method_id,material_id,material_group,entry_id,protocol_number,protocol_source,doi,source_pdf,json_file,target_material,formula,elements,morphology,morphology_reported,route,route_reported,phase_or_structure,full_synthesis_procedure,notes,precursors,additives,solvent,temperature_C,time_h,time_min,pH,pressure_or_vessel,atmosphere,mixing_or_addition_sequence,washing,drying_temperature_C,calcination_temperature_C,post_treatment,support_or_substrate,particle_size_nm,diameter_nm,length_nm,width_nm,thickness_nm,yield,confidence
evidence_f30e35155794ca,method_89bc8512a7b941,mat_7849a91836b5ff,Ag,18468,2,example_protocol,10.1039/c2ra20815f,18468.pdf,18468.json,Shape-controlled Ag nanoparticles and Ag nanoplates,Ag,Ag,nanoparticle,Ag nanoparticle,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,Ag nanoparticles and two-dimensional Ag nanoplates,"For Ag nanoparticles, 3.0 mL of 94 mM AgNO3, 3.0 mL of 147 mM PVP (MW 55,000), and 6 mL polyol were mixed and heated at 140 °C for 1 h. Using 1,2-propanediol, 1,4-butanediol, or 1,5-pentanediol gave average sizes of about 60, 40, or 30 nm, respectively. Ethanol was added for centrifugation and collection. For Ag nanoplates, 100 mg PVP (MW 29,000) in 8 mL water was heated at 60 °C under stirring. AgNO3 (95.8 mg) was dissolved in 3 mL water and added to the PVP solution. The mixture was aged at 60 °C in air for 21 h, centrifuged, washed with ethanol, and redispersed in water.",The Ceder morphology should be checked against whether the entry refers to the nanoparticle or nanoplate branch.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.0 mL of 94 mM for nanoparticles; 95.8 mg in 3 mL water for nanoplates""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""3.0 mL of 147 mM, MW 55,000 for nanoparticles; 100 mg, MW 29,000 for nanoplates""}, {""name"": ""Polyol"", ""formula"": ""1,5-pentanediol / 1,4-butanediol / 1,2-propanediol"", ""amount"": ""6 mL for nanoparticle synthesis""}]","[""PVP""]","1,4-butanediol",140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,,Open heated reaction vessel in air,Air,"For nanoparticles, mix AgNO3, PVP, and polyol and heat. For nanoplates, heat aqueous PVP at 60 °C, separately dissolve AgNO3 in water, add it to the PVP solution, and age.",Collect by centrifugation; wash nanoplates with ethanol to remove excess PVP.,,,Redisperse nanoplates in water; collect nanoparticles in vials after ethanol-assisted centrifugation.,,Ag NPs: 30–60 depending on polyol; nanoplates not numerically specified in accessible text,"Ag NPs: 30, 40, or 60",,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_0d49b6a0b37c28,method_85c94af71ac89b,mat_7849a91836b5ff,Ag,18468,3,example_protocol,10.1039/c2ra20815f,18468.pdf,18468.json,Shape-controlled Ag nanoparticles and Ag nanoplates,Ag,Ag,nanoparticle,Ag nanoparticle,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,Ag nanoparticles and two-dimensional Ag nanoplates,"For Ag nanoparticles, 3.0 mL of 94 mM AgNO3, 3.0 mL of 147 mM PVP (MW 55,000), and 6 mL polyol were mixed and heated at 140 °C for 1 h. Using 1,2-propanediol, 1,4-butanediol, or 1,5-pentanediol gave average sizes of about 60, 40, or 30 nm, respectively. Ethanol was added for centrifugation and collection. For Ag nanoplates, 100 mg PVP (MW 29,000) in 8 mL water was heated at 60 °C under stirring. AgNO3 (95.8 mg) was dissolved in 3 mL water and added to the PVP solution. The mixture was aged at 60 °C in air for 21 h, centrifuged, washed with ethanol, and redispersed in water.",The Ceder morphology should be checked against whether the entry refers to the nanoparticle or nanoplate branch.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.0 mL of 94 mM for nanoparticles; 95.8 mg in 3 mL water for nanoplates""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""3.0 mL of 147 mM, MW 55,000 for nanoparticles; 100 mg, MW 29,000 for nanoplates""}, {""name"": ""Polyol"", ""formula"": ""1,5-pentanediol / 1,4-butanediol / 1,2-propanediol"", ""amount"": ""6 mL for nanoparticle synthesis""}]","[""PVP""]","1,5-pentanediol",140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,,Open heated reaction vessel in air,Air,"For nanoparticles, mix AgNO3, PVP, and polyol and heat. For nanoplates, heat aqueous PVP at 60 °C, separately dissolve AgNO3 in water, add it to the PVP solution, and age.",Collect by centrifugation; wash nanoplates with ethanol to remove excess PVP.,,,Redisperse nanoplates in water; collect nanoparticles in vials after ethanol-assisted centrifugation.,,Ag NPs: 30–60 depending on polyol; nanoplates not numerically specified in accessible text,"Ag NPs: 30, 40, or 60",,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_90534b786636ab,method_44b187f3d8ef99,mat_0d6e3437f7d748,Ag,18468,4,example_protocol,10.1039/c2ra20815f,18468.pdf,18468.json,Shape-controlled Ag nanoparticles and Ag nanoplates,Ag,Ag,nanoplate,Ag nanoplate,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,Ag nanoparticles and two-dimensional Ag nanoplates,"For Ag nanoparticles, 3.0 mL of 94 mM AgNO3, 3.0 mL of 147 mM PVP (MW 55,000), and 6 mL polyol were mixed and heated at 140 °C for 1 h. Using 1,2-propanediol, 1,4-butanediol, or 1,5-pentanediol gave average sizes of about 60, 40, or 30 nm, respectively. Ethanol was added for centrifugation and collection. For Ag nanoplates, 100 mg PVP (MW 29,000) in 8 mL water was heated at 60 °C under stirring. AgNO3 (95.8 mg) was dissolved in 3 mL water and added to the PVP solution. The mixture was aged at 60 °C in air for 21 h, centrifuged, washed with ethanol, and redispersed in water.",The Ceder morphology should be checked against whether the entry refers to the nanoparticle or nanoplate branch.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.0 mL of 94 mM for nanoparticles; 95.8 mg in 3 mL water for nanoplates""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""3.0 mL of 147 mM, MW 55,000 for nanoparticles; 100 mg, MW 29,000 for nanoplates""}, {""name"": ""Polyol"", ""formula"": ""1,5-pentanediol / 1,4-butanediol / 1,2-propanediol"", ""amount"": ""6 mL for nanoparticle synthesis""}]","[""PVP""]",Polyol for nanoparticles; deionized water for nanoplates; ethanol for purification,140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,,Open heated reaction vessel in air,Air,"For nanoparticles, mix AgNO3, PVP, and polyol and heat. For nanoplates, heat aqueous PVP at 60 °C, separately dissolve AgNO3 in water, add it to the PVP solution, and age.",Collect by centrifugation; wash nanoplates with ethanol to remove excess PVP.,,,Redisperse nanoplates in water; collect nanoparticles in vials after ethanol-assisted centrifugation.,,Ag NPs: 30–60 depending on polyol; nanoplates not numerically specified in accessible text,"Ag NPs: 30, 40, or 60",,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_f3304ed4e32d52,method_9f4afb28a23458,mat_d0ee77ec25e37e,Ag,19500,1,main_protocol,10.1039/C6TA03308C,19500.pdf,19500.json,"Very-long, thin silver nanowires",Ag,Ag,nanowire,"Very-long, thin nanowires",hydrothermal,Hydrothermal synthesis,Face-centered cubic silver nanowires with preferred [111] orientation,"AgNO3 (15 mL, 0.02 M), D-glucose (0.12 g in 5 mL water), PVP (1 g in 5 mL water), and NaCl (15 mL, 0.04 M) were prepared separately. PVP solution was prepared at 65 °C. Glucose was added to AgNO3 with stirring. After 5–10 min, PVP was added and stirred for 20 min. NaCl was then injected dropwise. The turbid hydrosol was transferred to a 50 mL Teflon-lined autoclave and heated at 160 °C for 22 h. After natural cooling, the product was centrifuged at 2500 rpm for 60 min, washed three times with water and 3–4 times with isopropanol, and dispersed in isopropanol.",This DOI duplicates entry 135 in the current Ag corpus; retain entry-specific JSON for database matching but deduplicate at DOI/method level later.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""15 mL of 0.02 M aqueous solution""}, {""name"": ""D-glucose"", ""formula"": ""C6H12O6"", ""amount"": ""0.12 g in 5 mL water""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1 g in 5 mL water"", ""molecular_weight"": ""~40,000""}, {""name"": ""Sodium chloride"", ""formula"": ""NaCl"", ""amount"": ""15 mL of 0.04 M aqueous solution""}]","[""PVP"", ""D-glucose reducing agent"", ""NaCl chloride source""]",Deionized water; isopropanol for washing and final dispersion,160,22,,,50 mL Teflon-lined stainless-steel autoclave,,"Prepare four separate solutions. Add glucose to AgNO3, wait 5–10 min, add PVP and stir 20 min, then inject NaCl dropwise.",Centrifuge at 2500 rpm for 60 min; wash three times with water and 3–4 times with isopropanol.,,,Natural air cooling and final dispersion in isopropanol.,,,45–65,"200,000–500,000",,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_373ed0fadadce6,method_31395d2ff2b779,mat_534badba603c3d,Ag,19643,1,main_protocol,10.1039/C6TB00438E,19643.pdf,19643.json,PVP-capped silver nanoparticles used as cores for AgNPs@MnO2,Ag,Ag,nanoparticle,Nanoparticles,polyol,Solvothermal polyol synthesis,Uniform PVP-capped Ag nanoparticles,"PEG-600 (20 mL) was heated to 80 °C with magnetic stirring, followed by addition of 222 mg PVP. Once transparent, 0.5 mL of 0.5 M AgNO3 aqueous solution was added. The reaction mixture was transferred to a 50 mL solvothermal kettle and maintained at 220 °C for 24 h. After cooling, the PVP-capped Ag nanoparticles were centrifuged at 16,000 rpm for 15 min, redispersed in ethanol, rinsed several times, and finally dispersed in ethanol.","For the elemental Ag route, use the first solvothermal step; downstream MnO2 coating is a separate composite-forming operation.","[{""name"": ""Polyethylene glycol 600"", ""formula"": ""PEG-600"", ""amount"": ""20 mL""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""222 mg""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.5 mL of 0.5 M aqueous solution""}]","[""PVP capping agent"", ""PEG-600 solvent/reducing medium""]",PEG-600; ethanol for purification and final dispersion,220,24,,,50 mL solvothermal kettle,,"Heat PEG-600 to 80 °C, add PVP until transparent, then add aqueous AgNO3 before solvothermal treatment.","Centrifuge at 16,000 rpm for 15 min; redisperse in ethanol and rinse several times.",,,Disperse purified PVP-capped AgNPs in ethanol.,,45 ± 3,45 ± 3,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_4337f71f451b36,method_95bd98dcb0c779,mat_5776c97c80c3f3,Ag,20508,1,example_protocol,10.1039/C6AN02414A,20508.pdf,20508.json,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,Ag,Ag,nanoparticle,Closely packed nanoparticles,hydrothermal,Hydrothermal growth on functionalized substrate,Face-centered-cubic Ag nanoparticle layer on a tapered silica fiber,"AgNO3 (0.34 g) was dissolved in 30 mL deionized water and 1.5 g PVP was added under stirring. After 2 min, 0.269 g Na3C6H5O7·2H2O was added. The mixture was transferred to a 50 mL Teflon-lined autoclave and diluted with water to 80% of the autoclave volume. A 4.5 cm segment of silanized tapered fiber was immersed in the mixture. The sealed autoclave was maintained at 180 °C for 12 h and cooled to room temperature. The fiber probe was removed, rinsed with water, and vacuum-dried.",This is a substrate-bound Ag synthesis rather than a free-powder route.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.34 g in 30 mL water""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.5 g""}, {""name"": ""Trisodium citrate dihydrate"", ""formula"": ""Na3C6H5O7·2H2O"", ""amount"": ""0.269 g""}, {""name"": ""3-Aminopropyltrimethoxysilane"", ""formula"": ""APTMS"", ""amount"": ""30 vol% in silanization solution""}]","[""PVP"", ""Trisodium citrate"", ""APTMS surface functionalization""]",Deionized water; methanol/water for silanization,180,6,,,50 mL stainless-steel Teflon-lined autoclave filled to 80%,,"Dissolve AgNO3 in water, add PVP under stirring, wait 2 min, add trisodium citrate, transfer to autoclave, immerse the silanized fiber taper, and hydrothermally treat.",Rinse the fiber carefully with deionized water.,,,Vacuum dry after natural cooling.,APTMS-silanized tapered multimode silica optical fiber,~130,~240 at optimal 12 h,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_eeb540059d9004,method_2d8b773bffbf1d,mat_5776c97c80c3f3,Ag,20508,2,example_protocol,10.1039/C6AN02414A,20508.pdf,20508.json,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,Ag,Ag,nanoparticle,Closely packed nanoparticles,hydrothermal,Hydrothermal growth on functionalized substrate,Face-centered-cubic Ag nanoparticle layer on a tapered silica fiber,"AgNO3 (0.34 g) was dissolved in 30 mL deionized water and 1.5 g PVP was added under stirring. After 2 min, 0.269 g Na3C6H5O7·2H2O was added. The mixture was transferred to a 50 mL Teflon-lined autoclave and diluted with water to 80% of the autoclave volume. A 4.5 cm segment of silanized tapered fiber was immersed in the mixture. The sealed autoclave was maintained at 180 °C for 12 h and cooled to room temperature. The fiber probe was removed, rinsed with water, and vacuum-dried.",This is a substrate-bound Ag synthesis rather than a free-powder route.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.34 g in 30 mL water""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.5 g""}, {""name"": ""Trisodium citrate dihydrate"", ""formula"": ""Na3C6H5O7·2H2O"", ""amount"": ""0.269 g""}, {""name"": ""3-Aminopropyltrimethoxysilane"", ""formula"": ""APTMS"", ""amount"": ""30 vol% in silanization solution""}]","[""PVP"", ""Trisodium citrate"", ""APTMS surface functionalization""]",Deionized water; methanol/water for silanization,180,12,,,50 mL stainless-steel Teflon-lined autoclave filled to 80%,,"Dissolve AgNO3 in water, add PVP under stirring, wait 2 min, add trisodium citrate, transfer to autoclave, immerse the silanized fiber taper, and hydrothermally treat.",Rinse the fiber carefully with deionized water.,,,Vacuum dry after natural cooling.,APTMS-silanized tapered multimode silica optical fiber,~240,~240 at optimal 12 h,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_4fd3b1feb5d74e,method_19ab07335fd0ce,mat_5776c97c80c3f3,Ag,20508,3,example_protocol,10.1039/C6AN02414A,20508.pdf,20508.json,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,Ag,Ag,nanoparticle,Closely packed nanoparticles,hydrothermal,Hydrothermal growth on functionalized substrate,Face-centered-cubic Ag nanoparticle layer on a tapered silica fiber,"AgNO3 (0.34 g) was dissolved in 30 mL deionized water and 1.5 g PVP was added under stirring. After 2 min, 0.269 g Na3C6H5O7·2H2O was added. The mixture was transferred to a 50 mL Teflon-lined autoclave and diluted with water to 80% of the autoclave volume. A 4.5 cm segment of silanized tapered fiber was immersed in the mixture. The sealed autoclave was maintained at 180 °C for 12 h and cooled to room temperature. The fiber probe was removed, rinsed with water, and vacuum-dried.",This is a substrate-bound Ag synthesis rather than a free-powder route.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.34 g in 30 mL water""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.5 g""}, {""name"": ""Trisodium citrate dihydrate"", ""formula"": ""Na3C6H5O7·2H2O"", ""amount"": ""0.269 g""}, {""name"": ""3-Aminopropyltrimethoxysilane"", ""formula"": ""APTMS"", ""amount"": ""30 vol% in silanization solution""}]","[""PVP"", ""Trisodium citrate"", ""APTMS surface functionalization""]",Deionized water; methanol/water for silanization,180,15,,,50 mL stainless-steel Teflon-lined autoclave filled to 80%,,"Dissolve AgNO3 in water, add PVP under stirring, wait 2 min, add trisodium citrate, transfer to autoclave, immerse the silanized fiber taper, and hydrothermally treat.",Rinse the fiber carefully with deionized water.,,,Vacuum dry after natural cooling.,APTMS-silanized tapered multimode silica optical fiber,~320,~240 at optimal 12 h,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_712dbf89bb76f1,method_ea26adc8efea09,mat_7092fc5a36d3e6,Ag,20867,1,main_protocol,10.1021/acsnano.5b00626,20867.pdf,20867.json,Silver nanowires used to form PPy/Ag coaxial nanowire aero-sponges,Ag,Ag,nanowire,Nanowires,polyol,Polyol solvothermal synthesis,Silver nanowires subsequently conformally coated with polypyrrole,"NaCl (6.9 mg) and PVP (2.64 g, MW 1,300,000) were added to 90 mL ethylene glycol at 90 °C. AgNO3 (1.02 g) was dissolved in 60 mL ethylene glycol and added dropwise to the first solution over 30 min. The mixed solution was heated at 160 °C for 6 h under solvothermal conditions. The Ag nanowires were purified by repeated centrifugation with water and ethanol.","The paper focuses on the PPy/Ag hybrid, but the Ag nanowire precursor synthesis is fully described.","[{""name"": ""Sodium chloride"", ""formula"": ""NaCl"", ""amount"": ""6.9 mg""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""2.64 g"", ""molecular_weight"": ""1,300,000""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""1.02 g""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""90 mL for NaCl/PVP solution and 60 mL for AgNO3 solution""}]","[""PVP"", ""NaCl""]",Ethylene glycol,160,6,,,Solvothermal vessel/autoclave,,Dissolve NaCl and PVP in 90 mL ethylene glycol at 90 °C. Separately dissolve AgNO3 in 60 mL ethylene glycol. Add the AgNO3 solution dropwise to the first solution over 30 min.,Purify by repeated centrifugation with water and ethanol.,,,Used as an aqueous/ethanol dispersion for subsequent PPy coating.,,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_2146489b4fb0a8,method_8def0451b4bff8,mat_a262a92e19a379,Ag,24306,1,main_protocol,10.1063/1.4954977,24306.pdf,24306.json,Silver nanospheres used as sacrificial templates for hollow gold nanoshells,Ag,Ag,nanosphere,Nanospheres,kinetically controlled seeded-growth reduction,Kinetically controlled seeded-growth reduction,Colloidal Ag nanospheres,"AgNO3 solution (100 mL, 1.32 mM) was prepared. A separate 25 mL aqueous solution containing 0.0625 mg tannic acid and 0.09 g trisodium citrate was prepared. Both solutions were heated to 60 °C and combined under vigorous stirring. The mixture was held at 60 °C for 5 min, brought to boiling for 20 min, and then cooled.",The main paper concerns gold reshaping; the Ag nanospheres are sacrificial templates.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""100 mL of 1.32 mM solution""}, {""name"": ""Tannic acid"", ""formula"": null, ""amount"": ""0.0625 mg in a 25 mL aqueous reducing solution""}, {""name"": ""Trisodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""0.09 g in the same 25 mL aqueous reducing solution""}]","[""Tannic acid reducing agent"", ""Trisodium citrate reducing/stabilizing agent""]",Water,60 °C followed by boiling,,5 min at 60 °C plus 20 min boiling,,Open aqueous reaction vessel,Ambient,"Prepare AgNO3 solution and a separate tannic acid/trisodium citrate solution. Heat both to 60 °C, combine under vigorous stirring, hold at 60 °C for 5 min, then boil for 20 min.",,,,"Allow the Ag colloid to cool; for subsequent gold-shell synthesis, centrifuge twice at 19,000 rpm for 10 min and redisperse in 0.1 M CTAB.",,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_47a105e2d6dadc,method_8f7b4d606bc1a9,mat_14c4253f5fe91c,Ag,24503,1,main_protocol,10.1016/j.apsusc.2016.09.155,24503.pdf,24503.json,PVP-coated silver nanoparticles for conductive ink,Ag,Ag,nanoparticle,Nanoparticles,chemical reduction,Aqueous chemical reduction,PVP-coated Ag nanoparticles,"PVP (1.63 g), AgNO3 (2 g), and deionized water (100 g) were ultrasonically mixed at 25 °C. NaBH4 (0.4 g) was dissolved in 20 g water and slowly added dropwise under continuous magnetic stirring at 50 °C. After 1 h, the mixture was centrifuged at 10,000 rpm for 15 min, washed twice with ethanol, and redispersed in a water/ethanol/glycerol/ethylene glycol mixture (24:8:30:38 v/v) with 30 min ultrasonication.",The paper later formulates a conductive ink and prints it on PET fabric.,"[{""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.63 g"", ""molecular_weight"": ""~30,000""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""2 g""}, {""name"": ""Deionized water"", ""formula"": ""H2O"", ""amount"": ""100 g for precursor solution""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""0.4 g in 20 g deionized water""}]","[""PVP"", ""NaBH4 reducing agent""]",Deionized water; ethanol for washing; water/ethanol/glycerol/ethylene glycol for final ink dispersion,50,1,,,Open beaker at ambient pressure,Ambient,"Ultrasonically mix PVP, AgNO3, and water at 25 °C. Add aqueous NaBH4 slowly dropwise under magnetic stirring at 50 °C, then continue stirring for 1 h.","Centrifuge at 10,000 rpm for 15 min and wash twice with ethanol.",,,Disperse in water/ethanol/glycerol/ethylene glycol (24:8:30:38 v/v) and ultrasonicate for 30 min.,,Average ~87,~87,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_8e461202f1fcbc,method_ea39bdb29d2f55,mat_cb752d5d60f676,Ag,24637,1,main_protocol,10.1016/j.synthmet.2010.08.010,24637.pdf,24637.json,Silver nanowires used as templates for Ag–AgCl/PPy nanocomposites,Ag,Ag,nanowire,Nanowires,polyol,Polyol reflux synthesis,Ag nanowires subsequently partially converted to AgCl within PPy,Three millilitres of 0.1 M AgNO3 in ethylene glycol and 3 mL of 0.6 M PVP in ethylene glycol were injected simultaneously into 5 mL ethylene glycol. The mixture was refluxed at 160 °C for 60 min. The Ag nanowires were centrifuged and washed several times with acetone.,The elemental Ag route is the nanowire template synthesis.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3 mL of 0.1 M solution in ethylene glycol""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""3 mL of 0.6 M solution in ethylene glycol"", ""molecular_weight"": ""550,000""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""5 mL reaction medium plus precursor solutions""}]","[""PVP""]",Ethylene glycol; acetone for washing,160,1,,,Reflux vessel,,Simultaneously inject the AgNO3/ethylene glycol solution and PVP/ethylene glycol solution into 5 mL ethylene glycol.,Centrifuge and wash several times with acetone.,,,Used directly as templates for CTAB-assisted pyrrole polymerization and FeCl3 etching.,,,,Hundreds of nanometres to tens of micrometres,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_ea29f816cc9235,method_7fe826e85e672a,mat_9e87aa43d6311e,Ag,25724,1,main_protocol,10.1016/j.spmi.2015.06.028,25724.pdf,25724.json,Colloidal silver nanoparticles for plasmon-enhanced ZnO fluorescence,Ag,Ag,nanosphere,Mostly spherical nanoparticles,chemical reduction,Aqueous colloidal reduction,Crystalline Ag nanoparticles,"Ag nanoparticles were synthesized by an optimized colloidal reduction of AgNO3 using NaBH4, with PVP and trisodium citrate as stabilizers. The paper does not provide exact reagent quantities or reaction time in the accessible experimental text. The resulting pale-yellow, stable Ag colloid contained mostly spherical 20–40 nm particles.",Exact precursor amounts are not reported and were not inferred.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""Not reported""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""Not reported""}, {""name"": ""Trisodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""Not reported""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""Not reported""}]","[""PVP"", ""Trisodium citrate"", ""NaBH4 reducing agent""]",Water,Room temperature,,,,Open colloidal reaction,Ambient,AgNO3 was reduced with NaBH4 in the presence of PVP and trisodium citrate.,,,,The stable pale-yellow Ag colloid was used directly for drop-cast hybrid films.,PVA-spaced ZnO nanoparticle film in the subsequent optical experiment,20–40,20–40,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""low"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_c209d81fdbdefe,method_10e35e6e75c3b8,mat_1f2004c870e234,Ag,25838,1,example_protocol,10.1007/s00339-013-7788-y,25838.pdf,25838.json,BSA-stabilized silver nanoparticles,Ag,Ag,nanosphere,"Smaller, mainly spherical nanoparticles",chemical reduction,One-step aqueous chemical reduction,BSA-capped crystalline Ag nanoparticles,"A 30 mL aqueous solution of AgNO3 (0.03 M) was combined with BSA and stirred for 1 h. A reducing agent—24 mL of 0.4 M NaBH4, hydrazine, or DMF—was then added slowly. The mixture was stirred for about 12 h to complete formation of BSA-capped Ag nanoparticles.",BSA quantity and exact hydrazine/DMF quantities were not reported in the accessible text.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""30 mL of 0.03 M aqueous solution""}, {""name"": ""Bovine serum albumin"", ""formula"": ""BSA"", ""amount"": ""Not reported""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""24 mL of 0.4 M solution, for one route""}, {""name"": ""Hydrazine hydrate"", ""formula"": ""N2H4·H2O"", ""amount"": ""Alternative reducing agent; amount not reported""}, {""name"": ""N,N-Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""Alternative reducing agent; amount not reported""}]","[""BSA stabilizer"", ""Reducing agent selected from NaBH4, hydrazine, or DMF""]",Water,Room temperature,1 h premixing plus ~12 h after reducing-agent addition,,,Open aqueous reaction vessel,Ambient,Combine aqueous AgNO3 with BSA and stir for 1 h. Slowly add the selected reducing agent and continue stirring for approximately 12 h.,,,,Used as water-soluble BSA-capped Ag colloid.,,Reducing-agent dependent; exact values not exposed in accessible text,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""medium"", ""particle_size"": ""low""}"
