material_id,material_group,formula,elements,n_elements,target_material,morphology,morphology_reported,phase_or_structure
mat_d79eaf9809561d,Ag,Ag,Ag,1,Multicrystalline silver nanowires used as templates for Ag/AgBr necklace-like heterostructures,nanowire,Nanowires,"Cubic, multicrystalline Ag nanowires"
mat_f11d73bfbe1158,Ag,Ag,Ag,1,Twin-crystalline silver nanowires used as templates for Pt nanotubes,nanowire,Nanowires,Twin-crystalline Ag nanowires
mat_d0ee77ec25e37e,Ag,Ag,Ag,1,"Very-long, thin silver nanowires",nanowire,"Very-long, thin nanowires",Face-centered cubic silver nanowires with preferred [111] orientation
mat_7092fc5a36d3e6,Ag,Ag,Ag,1,Silver nanowires used to form PPy/Ag coaxial nanowire aero-sponges,nanowire,Nanowires,Silver nanowires subsequently conformally coated with polypyrrole
mat_cb752d5d60f676,Ag,Ag,Ag,1,Silver nanowires used as templates for Ag–AgCl/PPy nanocomposites,nanowire,Nanowires,Ag nanowires subsequently partially converted to AgCl within PPy
mat_48846a9d487fed,Ag,Ag,Ag,1,Silver nanowires and ordered silver nanowire arrays,nanowire,Nanowires,Ag nanowires assembled into radially aligned arrays
mat_31db81f9527ca3,Cu,"Cu(In,Al)S2",Al;Cu;In;S,4,"Cu(In,Al)S2 films prepared from CuO, In2O3 and Al2O3 oxide precursor particles",film,CIAS films composed of closely packed particles with voids and a sandwich structure; glass substrate/intermediate small-grained layer/top large-grained layer,single chalcopyrite CIAS film; precursor includes single-phase CuO particles
mat_0409c62b318ce1,Cu,Cu1-xFexO,Cu;Fe;O,3,pure CuO and Fe-doped CuO nanorods,nanorod,nanorods,monoclinic CuO phase; Fe incorporated/substituted into CuO lattice
mat_cdc7ed4104c67e,Cu,CuO,Cu;O,2,CuO nanostructures,nanoparticle,flake-like CuO nanoparticles,review article covering multiple CuO nanostructures
mat_f7e8b847c40377,Cu,CuO,Cu;O,2,undoped and Cd-doped CuO nanoflakes / nanoparticles,nanoparticle,nanoflakes; paper also describes products as nanoparticles in the synthesis section,monoclinic CuO
mat_381fc9552c1b21,Cu,CuO,Cu;O,2,cupric oxide nanoparticles,nanoparticle,nanoparticles,cupric oxide
mat_ff8c71b2aaec89,Cu,CuO,Cu;O,2,carambola-like CuO film on copper substrate; STA-modified CuO film,nanopetal,carambola-like CuO film composed of nanopetals,monoclinic CuO film
mat_21c83d467a364c,Cu,CuO,Cu;O,2,CuO single-crystal nanoplatelets with exposed {001} facets; comparison CuO nanoparticles,nanoplate,nanoplatelets; comparison nanoparticles,monoclinic CuO; single-crystal nanoplatelets with exposed {001} facets
mat_0f4ea13ff65e1b,Cu,CuO,Cu;O,2,CuO nanoparticles; CuO nanoplatelets; CuO nanorods,nanoplate,nanoparticles; nanoplatelets; nanorods,CuO
mat_7bcbf89992f71c,Cu,CuO,Cu;O,2,CuO nanoshuttles; porous CuO nanoparticles; CuO nanodisks,nanoplate,nanoshuttles; platelet-like porous nanoparticles; nanodisks,monoclinic CuO; Cu(OH)2 precursor thermally dehydrated to CuO
mat_47f8ff1eb66cfb,Cu,CuO,Cu;O,2,CuO nanostructures,nanorod,CuO nanotubes / nanorods,review article covering multiple CuO nanostructures
mat_0f3a5e8d573101,Cu,CuO,Cu;O,2,CuO nanorods,nanorod,nanorods,monoclinic CuO
mat_19fa6a9b23d007,Cu,CuO,Cu;O,2,CuO nanosheet arrays on nickel foam,nanosheet,nanosheet arrays forming a uniform film on nickel foam,monoclinic CuO nanosheets grown as arrays on nickel foam
mat_82bb76bf6195e7,Cu,CuO,Cu;O,2,CuO nanosheets,nanosheet,nanosheets; randomly grown sheet-like morphology,monoclinic CuO
mat_6068ae8a4cc9c5,Cu,CuO,Cu;O,2,CuO nanosheets and CuO nanoparticles,nanosheet,leaflike nanosheets; nanoparticles as comparison sample,monoclinic CuO nanosheets after calcination; nanoparticle control also CuO
mat_ceec7bf440da73,Cu,CuO,Cu;O,2,Ti-supported CuO film composed of bamboo-leaf-like nanosheets,nanosheet,bamboo-leaf-like nanosheets forming a nanostructured film,nanostructured CuO film on Ti substrate
mat_b0f10eeecd0c48,Cu,CuO,Cu;O,2,CuO nanowires and CuO nanorods,nanowire,nanowires and nanorods,monoclinic CuO with preferred growth orientation
mat_6863c91a32fcaa,Cu,CuO/ZnO,Cu;O;Zn,3,CuO nanoparticle-decorated porous ZnO nanorods,nanorod,CuO nanoparticles decorating porous ZnO nanorods,CuO nanoparticles supported on porous ZnO nanorods
mat_d1a0a19bd3df38,Cu,CuO/rGO,C;Cu;O,3,CuO nanoflower/reduced graphene oxide layered nanocomposite film,nanosheet,CuO nanoflowers connected with crumpled rGO nanosheets,CuO nanoflowers on rGO nanosheets; CuO/rGO heterostructure film
mat_49a0516de6717d,Cu,CuO; CuO-PANI,C;Cu;N;O,4,CuO nanorods and CuO-PANI nanostructure coatings,nanorod,nanorods; CuO-PANI nanostructure coating,monoclinic CuO; CuO-PANI nanostructure
mat_005761158243cf,Cu,CuO@TiO2,Cu;O;Ti,3,core-shell dendritic CuO@TiO2; dendritic CuO precursor,dendrite,dendritic CuO retained after TiO2 coating,monoclinic CuO; TiO2 shell after sol-gel coating and calcination
mat_32d5c494192461,Cu,MoS2/CuO,Cu;Mo;O;S,4,MoS2(n)-CuO(p) piezotronic diode on cellulose paper; hollow CuO irregular nanorods,nanorod,MoS2 nanoflakes self-assembled into microsphere-like morphology; CuO hollow irregular nanorod-like structures; uniform CuO deposition on MoS2-cellulose paper,hexagonal MoS2; monoclinic CuO; MoS2/CuO heterojunction
